,Date,USD
1014,2023-07-12, 209.763
1015,2023-07-13, 209.796
1016,2023-07-14, 209.903
1017,2023-07-15, 209.798
1018,2023-07-16, 209.824
1019,2023-07-17, 209.777
1020,2023-07-18, 209.782
1021,2023-07-19, 209.907
1022,2023-07-20, 209.911
1023,2023-07-21, 209.775
1024,2023-07-22, 209.779
1025,2023-07-23, 209.885
1026,2023-07-24, 209.959
1027,2023-07-25, 209.939
1028,2023-07-26, 209.969
1029,2023-07-27, 210.002
1030,2023-07-28, 210.073
1031,2023-07-29, 210.036
1032,2023-07-30, 210.034
1033,2023-07-31, 210.080
1034,2023-08-01, 210.220
1035,2023-08-02, 210.399
1036,2023-08-03, 210.587
1037,2023-08-04, 210.577
1038,2023-08-05, 210.716
1039,2023-08-06, 210.801
1040,2023-08-07, 210.909
1041,2023-08-08, 210.887
1042,2023-08-09, 210.943
1043,2023-08-10, 211.071
1044,2023-08-11, 210.979
1045,2023-08-12, 211.042
1046,2023-08-13, 211.156
1047,2023-08-14, 211.281
1048,2023-08-15, 211.456
1049,2023-08-16, 211.391
1050,2023-08-17, 211.360
1051,2023-08-18, 211.259
1052,2023-08-19, 211.413
1053,2023-08-20, 211.570
1054,2023-08-21, 211.509
1055,2023-08-22, 211.657
1056,2023-08-23, 211.748
1057,2023-08-24, 211.434
1058,2023-08-25, 211.288
1059,2023-08-26, 211.387
1060,2023-08-27, 211.161
1061,2023-08-28, 210.884
1062,2023-08-29, 210.859
1063,2023-08-30, 210.947
1064,2023-08-31, 211.175
1065,2023-09-01, 210.980
1066,2023-09-02, 211.094
1067,2023-09-03, 211.287
1068,2023-09-04, 211.274
1069,2023-09-05, 211.304
1070,2023-09-06, 211.352
1071,2023-09-07, 211.413
1072,2023-09-08, 295.116
1073,2023-09-09, 295.136
1074,2023-09-10, 295.341
1075,2023-09-11, 295.364
1076,2023-09-12, 295.098
1077,2023-09-13, 294.905
1078,2023-09-14, 295.033
1079,2023-09-15, 295.117
1080,2023-09-16, 295.359
1081,2023-09-17, 295.547
1082,2023-09-18, 295.493
1083,2023-09-19, 295.505
1084,2023-09-20, 295.292
1085,2023-09-21, 295.558
1086,2023-09-22, 295.618
1087,2023-09-23, 295.486
1088,2023-09-24, 295.630
1089,2023-09-25, 295.864
1090,2023-09-26, 295.884
1091,2023-09-27, 295.861
1092,2023-09-28, 295.816
1093,2023-09-29, 295.736
1094,2023-09-30, 295.804
1095,2023-10-01, 296.142
1096,2023-10-02, 296.430
1097,2023-10-03, 296.434
1098,2023-10-04, 296.438
1099,2023-10-05, 296.551
1100,2023-10-06, 296.636
1101,2023-10-07, 296.684
1102,2023-10-08, 296.790
1103,2023-10-09, 296.891
1104,2023-10-10, 296.914
1105,2023-10-11, 296.880
1106,2023-10-12, 296.817
1107,2023-10-13, 296.716
1108,2023-10-14, 296.772
1109,2023-10-15, 296.980
1110,2023-10-16, 296.947
1111,2023-10-17, 296.951
1112,2023-10-18, 297.001
1113,2023-10-19, 296.971
1114,2023-10-20, 297.002
1115,2023-10-21, 296.922
1116,2023-10-22, 296.923
1117,2023-10-23, 296.955
1118,2023-10-24, 296.962
1119,2023-10-25, 296.960
1120,2023-10-26, 296.995
1121,2023-10-27, 297.009
1122,2023-10-28, 296.975
1123,2023-10-29, 297.110
1124,2023-10-30, 297.230
1125,2023-10-31, 297.402
1126,2023-11-01, 297.158
1127,2023-11-02, 296.967
1128,2023-11-03, 296.932
1129,2023-11-04, 297.024
1130,2023-11-05, 297.055
1131,2023-11-06, 297.240
1132,2023-11-07, 297.248
1133,2023-11-08, 297.354
1134,2023-11-09, 297.522
1135,2023-11-10, 297.532
1136,2023-11-11, 297.579
1137,2023-11-12, 297.806
1138,2023-11-13, 297.934
1139,2023-11-14, 297.885
1140,2023-11-15, 297.701
1141,2023-11-16, 297.690
1142,2023-11-17, 297.641
1143,2023-11-18, 297.696
1144,2023-11-19, 297.667
1145,2023-11-20, 297.633
1146,2023-11-21, 297.538
1147,2023-11-22, 297.487
1148,2023-11-23, 297.429
1149,2023-11-24, 297.475
1150,2023-11-25, 297.428
1151,2023-11-26, 297.363
1152,2023-11-27, 297.345
1153,2023-11-28, 297.380
1154,2023-11-29, 297.264
1155,2023-11-30, 297.318
1156,2023-12-01, 297.354
1157,2023-12-02, 297.299
1158,2023-12-03, 297.488
1159,2023-12-04, 297.570
1160,2023-12-05, 297.531
1161,2023-12-06, 297.663
1162,2023-12-07, 297.777
1163,2023-12-08, 297.933
1164,2023-12-09, 297.832
1165,2023-12-10, 297.934
1166,2023-12-11, 298.011
1167,2023-12-12, 297.987
1168,2023-12-13, 297.870
1169,2023-12-14, 298.012
1170,2023-12-15, 298.004
1171,2023-12-16, 298.091
1172,2023-12-17, 298.047
1173,2023-12-18, 297.847
1174,2023-12-19, 297.741
1175,2023-12-20, 297.755
1176,2023-12-21, 297.787
1177,2023-12-22, 297.816
1178,2023-12-23, 297.843
1179,2023-12-24, 297.840
1180,2023-12-25, 297.943
1181,2023-12-26, 297.955
