Date,Price,Inflation,USD
2011-03-29,63440.20,8.8584,46.67
2011-03-30,63791.13,8.8584,46.67
2011-03-31,64172.18,8.8584,46.67
2011-04-01,63235.69,8.8584,46.67
2011-04-04,64016.10,8.8584,46.67
2011-04-05,63683.22,8.8584,46.67
2011-04-06,64547.14,8.8584,46.67
2011-04-07,64517.18,8.8584,46.67
2011-04-08,64760.85,8.8584,46.67
2011-04-11,65164.52,8.8584,46.67
2011-04-12,64387.69,8.8584,46.67
2011-04-13,64866.02,8.8584,46.67
2011-04-14,65233.19,8.8584,46.67
2011-04-15,65464.31,8.8584,46.67
2011-04-18,66371.30,8.8584,46.67
2011-04-19,66304.87,8.8584,46.67
2011-04-20,66531.82,8.8584,46.67
2011-04-21,66747.50,8.8584,46.67
2011-04-22,66747.50,8.8584,46.67
2011-04-25,66905.42,8.8584,46.67
2011-04-26,66661.21,8.8584,46.67
2011-04-27,67141.28,8.8584,46.67
2011-04-28,68229.94,8.8584,46.67
2011-04-29,67892.13,8.8584,46.67
2011-05-02,68076.38,8.8584,46.67
2011-05-03,68560.37,8.8584,46.67
2011-05-04,68520.56,8.8584,46.67
2011-05-05,67639.91,8.8584,46.67
2011-05-06,66580.33,8.8584,46.67
2011-05-09,67124.36,8.8584,46.67
2011-05-10,67736.68,8.8584,46.67
2011-05-11,67384.98,8.8584,46.67
2011-05-12,67008.86,8.8584,46.67
2011-05-13,67555.46,8.8584,46.67
2011-05-16,67766.36,8.8584,46.67
2011-05-17,66761.67,8.8584,46.67
2011-05-18,67439.75,8.8584,46.67
2011-05-19,67147.66,8.8584,46.67
2011-05-20,67068.83,8.8584,46.67
2011-05-23,68319.91,8.8584,46.67
2011-05-24,69043.30,8.8584,46.67
2011-05-25,69200.17,8.8584,46.67
2011-05-26,68795.63,8.8584,46.67
2011-05-27,69237.93,8.8584,46.67
2011-05-30,69099.97,8.8584,46.67
2011-05-31,69211.64,8.8584,46.67
2011-06-01,68781.00,8.8584,46.67
2011-06-02,69008.08,8.8584,46.67
2011-06-03,68999.69,8.8584,46.67
2011-06-06,69325.48,8.8584,46.67
2011-06-07,69022.86,8.8584,46.67
2011-06-08,68752.79,8.8584,46.67
2011-06-09,68791.22,8.8584,46.67
2011-06-10,68395.69,8.8584,46.67
2011-06-13,68475.19,8.8584,46.67
2011-06-14,67835.31,8.8584,46.67
