Fund Name,3Yr,5Yr,10Yr,15Yr,20Yr
Tata Large Cap Fund - Direct Plan,1.71,4.93,0.0,0.0,0.0
Tata Large Cap Fund - Regular Plan,0.74,3.67,7.72,9.26,15.01
Tata Nifty Exchange Traded Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
Taurus Largecap Equity Fund - Direct Plan,1.56,3.25,0.0,0.0,0.0
Taurus Largecap Equity Fund - Regular Plan,1.27,2.77,5.92,6.23,11.44
Taurus Nifty Index Fund - Direct Plan,5.27,7.78,0.0,0.0,0.0
Taurus Nifty Index Fund - Regular Plan,5.0,7.24,8.4,0.0,0.0
Union Largecap Fund - Direct Plan,3.44,0.0,0.0,0.0,0.0
Union Largecap Fund - Regular Plan,2.89,0.0,0.0,0.0,0.0
UTI Mastershare Fund - Direct Plan,5.85,7.69,0.0,0.0,0.0
UTI Mastershare Fund - Regular Plan,4.97,6.8,9.47,10.13,13.32
UTI Nifty Exchange Traded Fund,5.13,7.87,0.0,0.0,0.0
UTI Nifty Index Fund - Direct Plan,4.99,7.65,0.0,0.0,0.0
UTI Nifty Index Fund - Regular Plan,4.92,7.57,9.04,9.17,12.22
UTI Nifty Next 50 Exchange Traded Fund - Regular Plan,1.24,0.0,0.0,0.0,0.0
UTI Nifty Next 50 Index Fund - Direct Plan,0.0,0.0,0.0,0.0,0.0
UTI Nifty Next 50 Index Fund - Regular Plan,0.0,0.0,0.0,0.0,0.0
UTI Sensex Exchange Traded Fund,6.25,8.94,0.0,0.0,0.0
UTI S&P BSE Sensex Next 50 ETF - Regular Plan,0.0,0.0,0.0,0.0,0.0
