Fund Name,1Yr,3Yr,5Yr,10Yr,15Yr,20Yr
IDFC Asset Allocation Fund - Aggressive Plan - Direct Plan,8.86,6.76,7.17,0.0,0.0,0.0
IDFC Asset Allocation Fund - Aggressive Plan - Regular Plan,7.98,3.2,3.21,5.86,4.39,0.0
IDFC Asset Allocation Fund - Conservative Plan - Direct Plan,8.42,4.07,4.15,0.0,0.0,0.0
IDFC Asset Allocation Fund - Conservative Plan - Regular Plan,7.69,6.72,6.32,6.74,6.77,7.28
IDFC Asset Allocation Fund - Moderate Plan - Direct Plan,8.43,7.69,7.27,0.0,0.0,0.0
IDFC Asset Allocation Fund - Moderate Plan - Regular Plan,7.71,6.33,6.18,6.99,7.38,0.0
IDFC Equity Savings Fund - Direct Plan,9.46,6.96,6.86,0.0,0.0,0.0
IDFC Equity Savings Fund - Regular Plan,8.29,3.56,4.18,0.0,0.0,0.0
IDFC Low Duration Fund - Direct Plan,7.68,4.49,5.08,0.0,0.0,0.0
IDFC Low Duration Fund - Regular Plan,7.44,7.53,0.0,0.0,0.0,0.0
IDFC Regular Savings Fund - Direct Plan,8.01,5.71,0.0,0.0,0.0,0.0
IDFC Regular Savings Fund - Regular Plan,7.01,0.0,0.0,0.0,0.0,0.0
Indiabulls Savings Income Fund - Direct Plan,4.58,0.0,0.0,0.0,0.0,0.0
Indiabulls Savings Income Fund - Regular Plan,2.89,-9.45,-4.4,0.0,0.0,0.0
Invesco India Equity Savings Fund - Direct Plan,10.37,-8.67,-3.44,0.0,0.0,0.0
Invesco India Equity Savings Fund - Regular Plan,8.43,0.0,0.0,0.0,0.0,0.0
Invesco India Treasury Advantage Fund,7.74,0.0,0.0,0.0,0.0,0.0
Invesco India Treasury Advantage Fund - Direct Plan,8.07,0.0,0.0,0.0,0.0,0.0
JM Low Duration Fund,17.85,0.0,0.0,0.0,0.0,0.0
JM Low Duration Fund - Direct Plan,17.97,-5.11,-1.2,4.14,6.53,0.0
Kotak Asset Allocator Fund - Direct Plan,18.64,-4.39,-0.37,0.0,0.0,0.0
Kotak Asset Allocator Fund Regular Plan,18.16,0.0,0.0,0.0,0.0,0.0
Kotak Debt Hybrid Fund - Direct Plan,12.55,0.0,0.0,0.0,0.0,0.0
Kotak Debt Hybrid Fund - Regular Plan,11.27,0.0,0.0,0.0,0.0,0.0
Kotak Equity Savings Fund - Direct Plan,9.78,0.0,0.0,0.0,0.0,0.0
Kotak Equity Savings Fund - Regular Plan,8.77,7.29,6.74,0.0,0.0,0.0
Kotak Low Duration Fund - Standard Plan,8.48,8.43,8.01,0.0,0.0,0.0
Kotak Low Duration Fund - Standard Plan - Direct Plan,9.3,4.08,4.93,7.03,7.2,0.0
LIC MF Children's Gift Fund,5.17,5.18,6.1,0.0,0.0,0.0
LIC MF Children's Gift Fund - Direct Plan,5.9,5.94,6.11,6.44,6.7,0.0
LIC MF Debt Hybrid Fund,7.23,7.22,7.32,0.0,0.0,0.0
LIC MF Debt Hybrid Fund - Direct Plan,8.15,2.79,0.0,0.0,0.0,0.0
LIC MF Savings Fund,7.58,2.31,0.0,0.0,0.0,0.0
LIC MF Savings Fund - Direct Plan,8.14,3.78,0.0,0.0,0.0,0.0
L&T Conservative Hybrid Fund,6.33,3.15,0.0,0.0,0.0,0.0
L&T Conservative Hybrid Fund - Direct Plan,6.88,6.52,6.19,7.93,7.67,0.0
L&T Equity Savings Fund,6.4,7.22,7.0,0.0,0.0,0.0
L&T Equity Savings Fund - Direct Plan,7.41,6.3,6.92,0.0,0.0,0.0
L&T Low Duration Fund,7.28,5.4,5.74,0.0,0.0,0.0
L&T Low Duration Fund - Direct Plan,7.86,4.7,7.31,10.35,10.08,0.0
Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Direct Plan,11.01,5.6,8.26,0.0,0.0,0.0
Mahindra Manulife Equity Savings Dhan Sanchay Yojana - Regular Plan,9.24,2.45,3.56,6.39,0.0,0.0
Mahindra Manulife Low Duration Fund - Direct Plan,7.76,3.46,4.62,0.0,0.0,0.0
Mahindra Manulife Low Duration Fund - Regular Plan,6.88,0.0,0.0,0.0,0.0,0.0
